Day,Month,Year,Location,Plot,Station,Genus,Species,Identification,TotalSeeds,Flag,Notes
6,7,1975,SNM_East,2,4,Perognathus,penicillatus,RF1,3,0,
9,7,1975,SNM_West,2,4,Perognathus,penicillatus,LF4,6,0,
11,7,1975,SNM_West,2,8,Perognathus,penicillatus,LF2,380,0,
15,7,1975,SNM_West,1,5,Perognathus,penicillatus,LF2,1,0,
22,7,1975,SNM_East,7,3,Perognathus,penicillatus,LF2,4,0,
24,7,1975,SNM_East,5,7,Perognathus,penicillatus,RR5,1,0,
29,7,1975,SNM_East,4,7,Perognathus,penicillatus,RF1,49,0,
29,7,1975,SNM_East,7,7,Perognathus,penicillatus,RF2,2,0,
30,7,1975,SNM_East,7,3,Perognathus,penicillatus,LF2,3,1,fragments from at least 2 additional prickly pear seeds
31,7,1975,SNM_East,6,5,Perognathus,penicillatus,RF2,28,0,
31,7,1975,SNM_East,5,3,Perognathus,penicillatus,RF2,1,0,
31,7,1975,SNM_East,4,3,Perognathus,penicillatus,LF3,2,0,
